[17:30:43.438][INFO][CraftTweaker-Commands]: - <recipetype:immersiveengineering:alloy>
[17:30:43.438][INFO][CraftTweaker-Commands]: - <recipetype:ae2:storage_cell_disassembly>
[17:30:43.438][INFO][CraftTweaker-Commands]: - <recipetype:oritech:assembler>
[17:30:43.438][INFO][CraftTweaker-Commands]: - <recipetype:productivebees:incubation>
[17:30:43.438][INFO][CraftTweaker-Commands]: - <recipetype:productivebees:centrifuge>
[17:30:43.438][INFO][CraftTweaker-Commands]: - <recipetype:mekanism:energy_conversion>
[17:30:43.438][INFO][CraftTweaker-Commands]: - <recipetype:deep_aether:poison_recipe>
[17:30:43.438][INFO][CraftTweaker-Commands]: - <recipetype:immersiveengineering:fertilizer>
[17:30:43.438][INFO][CraftTweaker-Commands]: - <recipetype:immersiveengineering:thermoelectric_source>
[17:30:43.438][INFO][CraftTweaker-Commands]: - <recipetype:ae2lt:lightning_transform>
[17:30:43.438][INFO][CraftTweaker-Commands]: - <recipetype:divinerpg:maul_smashing>
[17:30:43.438][INFO][CraftTweaker-Commands]: - <recipetype:ae2:matter_cannon>
[17:30:43.438][INFO][CraftTweaker-Commands]: - <recipetype:ae2lt:lightning_assembly>
[17:30:43.438][INFO][CraftTweaker-Commands]: - <recipetype:immersiveengineering:bottling_machine>
[17:30:43.438][INFO][CraftTweaker-Commands]: - <recipetype:ars_nouveau:book_upgrade>
[17:30:43.438][INFO][CraftTweaker-Commands]: - <recipetype:draconicevolution:fusion_crafting>
[17:30:43.438][INFO][CraftTweaker-Commands]: - <recipetype:mekanism:dissolution>
[17:30:43.438][INFO][CraftTweaker-Commands]: - <recipetype:botanypots:crop>
[17:30:43.438][INFO][CraftTweaker-Commands]: - <recipetype:immersiveengineering:blueprint>
[17:30:43.438][INFO][CraftTweaker-Commands]: - <recipetype:oritech:centrifuge_fluid>
[17:30:43.438][INFO][CraftTweaker-Commands]: - <recipetype:lychee:category_modifier>
[17:30:43.438][INFO][CraftTweaker-Commands]: - <recipetype:ars_nouveau:potion_flask>
[17:30:43.438][INFO][CraftTweaker-Commands]: - <recipetype:ae2:charger>
[17:30:43.438][INFO][CraftTweaker-Commands]: - <recipetype:lychee:particle_block_collision>
[17:30:43.438][INFO][CraftTweaker-Commands]: - <recipetype:enderio:alloy_smelting>
[17:30:43.438][INFO][CraftTweaker-Commands]: - <recipetype:actuallyadditions:fermenting>
[17:30:43.438][INFO][CraftTweaker-Commands]: - <recipetype:actuallyadditions:liquid_fuel>
[17:30:43.438][INFO][CraftTweaker-Commands]: - <recipetype:botanypots:pot_interaction>
[17:30:43.438][INFO][CraftTweaker-Commands]: - <recipetype:mekanism:crystallizing>
[17:30:43.438][INFO][CraftTweaker-Commands]: - <recipetype:woot_revived:fluid_infuser>
[17:30:43.438][INFO][CraftTweaker-Commands]: - <recipetype:immersiveengineering:coke_oven>
[17:30:43.438][INFO][CraftTweaker-Commands]: - <recipetype:aether:freezing>
[17:30:43.438][INFO][CraftTweaker-Commands]: - <recipetype:ae2:quartz_cutting>
[17:30:43.438][INFO][CraftTweaker-Commands]: - <recipetype:woot_revived:dye_liquifier>
[17:30:43.438][INFO][CraftTweaker-Commands]: - <recipetype:twilightforest:drying>
[17:30:43.438][INFO][CraftTweaker-Commands]: - <recipetype:botanypots:soil>
[17:30:43.438][INFO][CraftTweaker-Commands]: - <recipetype:minecraft:blasting>
[17:30:43.438][INFO][CraftTweaker-Commands]: - <recipetype:aoa3:staff_charging>
[17:30:43.438][INFO][CraftTweaker-Commands]: - <recipetype:oritech:atomic_forge>
[17:30:43.438][INFO][CraftTweaker-Commands]: - <recipetype:actuallyadditions:color_change>
